alert_id,entity_id,asset_id,severity,alert_type,timestamp
AL-E003-032,E003,AST-E003-002,Medium,Suspicious Login,2026-08-28T03:34:00
AL-E003-033,E003,AST-E003-003,Medium,Abnormal API Activity,2026-08-30T03:59:00
AL-E003-034,E003,AST-E003-004,Medium,Brute Force,2026-08-17T09:28:00
AL-E003-035,E003,AST-E003-005,High,Abnormal API Activity,2026-08-29T01:02:00
AL-E003-036,E003,AST-E003-006,Medium,Suspicious Login,2026-08-02T08:13:00
AL-E003-037,E003,AST-E003-007,Low,Abnormal API Activity,2026-08-18T03:13:00
AL-E003-038,E003,AST-E003-008,Medium,Brute Force,2026-08-14T22:11:00
AL-E003-039,E003,AST-E003-009,Medium,Brute Force,2026-08-09T09:47:00
AL-E003-040,E003,AST-E003-010,High,Data Exfiltration,2026-08-18T03:12:00
AL-E003-041,E003,AST-E003-011,High,Malware Detection,2026-08-15T00:07:00
AL-E003-042,E003,AST-E003-012,Critical,Unauthorized Access,2026-08-02T13:24:00
AL-E003-043,E003,AST-E003-013,Medium,Data Exfiltration,2026-08-15T10:37:00
AL-E003-044,E003,AST-E003-014,Low,Impossible Travel,2026-08-12T04:43:00
AL-E003-045,E003,AST-E003-015,Medium,Malware Detection,2026-08-30T21:28:00
AL-E003-046,E003,AST-E003-016,Low,Brute Force,2026-08-28T16:09:00
AL-E003-047,E003,AST-E003-017,Medium,Unauthorized Access,2026-08-11T13:10:00
AL-E003-048,E003,AST-E003-018,Low,Privilege Escalation,2026-08-04T23:19:00
AL-E003-049,E003,AST-E003-019,Medium,Privilege Escalation,2026-08-27T04:50:00
AL-E003-050,E003,AST-E003-020,Low,Privilege Escalation,2026-08-06T20:04:00
AL-E003-051,E003,AST-E003-021,High,Endpoint Tampering,2026-08-15T16:13:00
AL-E003-052,E003,AST-E003-022,High,Brute Force,2026-08-09T16:31:00
AL-E003-053,E003,AST-E003-023,Low,Endpoint Tampering,2026-08-30T13:10:00
AL-E003-054,E003,AST-E003-024,Medium,Impossible Travel,2026-08-17T01:08:00
AL-E003-055,E003,AST-E003-025,Medium,Data Exfiltration,2026-08-14T14:52:00
AL-E003-056,E003,AST-E003-026,Low,Impossible Travel,2026-08-22T11:35:00
AL-E003-057,E003,AST-E003-027,Medium,Impossible Travel,2026-08-14T13:11:00
AL-E003-058,E003,AST-E003-028,Critical,Unauthorized Access,2026-08-02T22:49:00
AL-E003-059,E003,AST-E003-029,Low,Endpoint Tampering,2026-08-10T09:59:00
AL-E003-060,E003,AST-E003-030,Medium,Privilege Escalation,2026-08-24T13:12:00
AL-E003-061,E003,AST-E003-001,High,Firewall Anomaly,2026-08-02T19:18:00
AL-E003-062,E003,AST-E003-002,Medium,Privilege Escalation,2026-08-14T11:42:00
AL-E003-063,E003,AST-E003-003,High,Data Exfiltration,2026-08-04T10:20:00
AL-E003-064,E003,AST-E003-004,High,Suspicious Login,2026-08-06T19:04:00
AL-E003-065,E003,AST-E003-005,High,Firewall Anomaly,2026-08-02T22:23:00
AL-E003-066,E003,AST-E003-006,High,Impossible Travel,2026-08-10T08:46:00
AL-E003-067,E003,AST-E003-007,Low,Abnormal API Activity,2026-08-27T14:11:00
AL-E003-068,E003,AST-E003-008,Low,Data Exfiltration,2026-08-06T19:57:00
AL-E003-069,E003,AST-E003-009,Medium,Firewall Anomaly,2026-08-12T05:06:00
AL-E003-070,E003,AST-E003-010,Medium,Endpoint Tampering,2026-08-25T18:32:00
AL-E003-071,E003,AST-E003-011,Low,Data Exfiltration,2026-08-06T12:04:00
AL-E003-072,E003,AST-E003-012,Medium,Suspicious Login,2026-08-25T22:53:00
AL-E003-073,E003,AST-E003-013,Low,Malware Detection,2026-08-17T08:18:00
AL-E003-074,E003,AST-E003-014,High,Malware Detection,2026-08-25T15:57:00
AL-E003-075,E003,AST-E003-015,Low,Data Exfiltration,2026-08-09T03:06:00
AL-E003-076,E003,AST-E003-016,High,Suspicious Login,2026-08-07T04:20:00
AL-E003-077,E003,AST-E003-017,Medium,Impossible Travel,2026-08-23T12:28:00
AL-E003-078,E003,AST-E003-018,High,Privilege Escalation,2026-08-03T14:32:00
AL-E003-079,E003,AST-E003-019,Medium,Firewall Anomaly,2026-08-13T13:22:00
AL-E003-080,E003,AST-E003-020,Low,Brute Force,2026-08-20T14:00:00
AL-E003-081,E003,AST-E003-021,High,Unauthorized Access,2026-08-01T09:58:00
AL-E003-082,E003,AST-E003-022,Low,Malware Detection,2026-08-03T10:26:00
AL-E003-083,E003,AST-E003-023,Critical,Malware Detection,2026-08-23T07:21:00
AL-E003-084,E003,AST-E003-024,Medium,Brute Force,2026-08-24T18:57:00
AL-E003-085,E003,AST-E003-025,Low,Brute Force,2026-08-08T11:31:00
AL-E003-086,E003,AST-E003-026,Medium,Endpoint Tampering,2026-08-18T21:23:00
AL-E003-087,E003,AST-E003-027,Medium,Privilege Escalation,2026-08-15T04:10:00
AL-E003-088,E003,AST-E003-028,Medium,Unauthorized Access,2026-08-16T07:06:00
AL-E003-089,E003,AST-E003-029,Low,Impossible Travel,2026-08-26T14:46:00
AL-E003-090,E003,AST-E003-030,Medium,Suspicious Login,2026-08-04T23:16:00
AL-E003-091,E003,AST-E003-001,Medium,Firewall Anomaly,2026-08-18T07:42:00
AL-E003-092,E003,AST-E003-002,Medium,Suspicious Login,2026-08-18T15:21:00
AL-E003-093,E003,AST-E003-003,High,Suspicious Login,2026-08-29T16:24:00
AL-E003-094,E003,AST-E003-004,Medium,Brute Force,2026-08-18T06:46:00
AL-E003-095,E003,AST-E003-005,Critical,Impossible Travel,2026-08-20T11:18:00
AL-E003-096,E003,AST-E003-006,Low,Privilege Escalation,2026-08-22T07:21:00
AL-E003-097,E003,AST-E003-007,Low,Endpoint Tampering,2026-08-25T17:16:00
AL-E003-098,E003,AST-E003-008,High,Privilege Escalation,2026-08-04T14:11:00
AL-E003-099,E003,AST-E003-009,Low,Suspicious Login,2026-08-20T17:08:00
AL-E003-100,E003,AST-E003-010,Medium,Firewall Anomaly,2026-08-16T03:36:00
AL-E003-101,E003,AST-E003-011,Low,Malware Detection,2026-08-13T06:22:00
AL-E003-102,E003,AST-E003-012,High,Malware Detection,2026-08-25T11:05:00
AL-E003-103,E003,AST-E003-013,Medium,Malware Detection,2026-08-15T19:46:00
AL-E003-104,E003,AST-E003-014,High,Abnormal API Activity,2026-08-28T01:59:00
AL-E003-105,E003,AST-E003-015,Low,Impossible Travel,2026-08-07T20:45:00
AL-E003-106,E003,AST-E003-016,Medium,Endpoint Tampering,2026-08-03T08:24:00
AL-E003-107,E003,AST-E003-017,Medium,Impossible Travel,2026-08-05T20:27:00
AL-E003-108,E003,AST-E003-018,High,Brute Force,2026-08-09T11:41:00
AL-E003-109,E003,AST-E003-019,Low,Malware Detection,2026-08-06T20:28:00
AL-E003-110,E003,AST-E003-020,High,Data Exfiltration,2026-08-23T06:23:00
AL-E003-111,E003,AST-E003-021,Low,Malware Detection,2026-08-27T16:30:00
AL-E003-112,E003,AST-E003-022,Critical,Endpoint Tampering,2026-08-02T23:36:00
AL-E003-113,E003,AST-E003-023,Medium,Privilege Escalation,2026-08-24T14:30:00
AL-E003-114,E003,AST-E003-024,Medium,Malware Detection,2026-08-06T04:35:00
AL-E003-115,E003,AST-E003-025,Low,Brute Force,2026-08-26T12:22:00
AL-E003-116,E003,AST-E003-026,Low,Malware Detection,2026-08-27T00:00:00
AL-E003-117,E003,AST-E003-027,Critical,Privilege Escalation,2026-08-12T08:27:00
AL-E003-118,E003,AST-E003-028,Medium,Impossible Travel,2026-08-22T00:02:00
AL-E003-119,E003,AST-E003-029,Medium,Impossible Travel,2026-08-12T20:13:00
AL-E003-120,E003,AST-E003-030,Medium,Malware Detection,2026-08-17T06:36:00
AL-E003-121,E003,AST-E003-001,Medium,Impossible Travel,2026-08-18T09:57:00
AL-E003-122,E003,AST-E003-002,Medium,Endpoint Tampering,2026-08-08T15:26:00
AL-E003-123,E003,AST-E003-003,Medium,Firewall Anomaly,2026-08-27T17:19:00
AL-E003-124,E003,AST-E003-004,Low,Impossible Travel,2026-08-23T08:21:00
AL-E003-125,E003,AST-E003-005,Low,Abnormal API Activity,2026-08-08T03:06:00
AL-E003-126,E003,AST-E003-006,High,Firewall Anomaly,2026-08-23T08:06:00
AL-E003-127,E003,AST-E003-007,Medium,Unauthorized Access,2026-08-21T11:55:00
AL-E003-128,E003,AST-E003-008,Low,Privilege Escalation,2026-08-07T12:51:00
AL-E003-129,E003,AST-E003-009,Medium,Brute Force,2026-08-08T00:04:00
AL-E003-130,E003,AST-E003-010,High,Firewall Anomaly,2026-08-11T21:44:00
AL-E003-131,E003,AST-E003-011,Medium,Impossible Travel,2026-08-14T19:09:00
AL-E003-132,E003,AST-E003-012,High,Endpoint Tampering,2026-08-28T10:08:00
AL-E003-133,E003,AST-E003-013,High,Data Exfiltration,2026-08-13T11:49:00
AL-E003-134,E003,AST-E003-014,Low,Impossible Travel,2026-08-02T09:15:00
AL-E003-135,E003,AST-E003-015,Low,Brute Force,2026-08-10T11:08:00
AL-E003-136,E003,AST-E003-016,Low,Unauthorized Access,2026-08-12T04:51:00
AL-E003-137,E003,AST-E003-017,Critical,Abnormal API Activity,2026-08-20T09:01:00
AL-E003-138,E003,AST-E003-018,Low,Endpoint Tampering,2026-08-28T14:16:00
AL-E003-139,E003,AST-E003-019,Medium,Abnormal API Activity,2026-08-31T00:35:00
AL-E003-140,E003,AST-E003-020,High,Impossible Travel,2026-08-04T15:03:00
AL-E003-141,E003,AST-E003-021,Medium,Privilege Escalation,2026-08-03T10:04:00
AL-E003-142,E003,AST-E003-022,Medium,Malware Detection,2026-08-12T00:26:00
AL-E003-143,E003,AST-E003-023,High,Privilege Escalation,2026-08-11T05:25:00
AL-E003-144,E003,AST-E003-024,High,Unauthorized Access,2026-08-09T23:07:00
AL-E003-145,E003,AST-E003-025,Medium,Suspicious Login,2026-08-09T20:27:00
AL-E003-146,E003,AST-E003-026,Low,Suspicious Login,2026-08-12T22:32:00
AL-E003-147,E003,AST-E003-027,Low,Malware Detection,2026-08-15T14:20:00
AL-E003-148,E003,AST-E003-028,Low,Data Exfiltration,2026-08-05T05:51:00
AL-E003-149,E003,AST-E003-029,Low,Abnormal API Activity,2026-08-14T14:41:00
AL-E003-150,E003,AST-E003-030,High,Brute Force,2026-08-27T17:50:00
AL-E003-151,E003,AST-E003-001,Low,Brute Force,2026-08-01T15:31:00
AL-E003-152,E003,AST-E003-002,Medium,Malware Detection,2026-08-21T04:28:00
AL-E003-153,E003,AST-E003-003,Medium,Abnormal API Activity,2026-08-10T21:28:00
AL-E003-154,E003,AST-E003-004,Low,Brute Force,2026-08-19T02:59:00
AL-E003-155,E003,AST-E003-005,High,Malware Detection,2026-08-06T18:10:00
AL-E003-156,E003,AST-E003-006,Low,Firewall Anomaly,2026-08-21T00:28:00
AL-E003-157,E003,AST-E003-007,Low,Brute Force,2026-08-12T18:04:00
AL-E003-158,E003,AST-E003-008,High,Data Exfiltration,2026-08-18T02:25:00
AL-E003-159,E003,AST-E003-009,Critical,Data Exfiltration,2026-08-31T02:25:00
AL-E003-160,E003,AST-E003-010,High,Brute Force,2026-08-06T05:03:00
AL-E003-161,E003,AST-E003-011,Medium,Malware Detection,2026-08-27T02:16:00
AL-E003-162,E003,AST-E003-012,Medium,Suspicious Login,2026-08-23T19:26:00
AL-E003-163,E003,AST-E003-013,Medium,Endpoint Tampering,2026-08-14T17:35:00
AL-E003-164,E003,AST-E003-014,Medium,Unauthorized Access,2026-08-09T14:46:00
AL-E003-165,E003,AST-E003-015,Medium,Abnormal API Activity,2026-08-09T11:37:00
AL-E003-166,E003,AST-E003-016,Low,Firewall Anomaly,2026-08-06T22:29:00
AL-E003-167,E003,AST-E003-017,Critical,Endpoint Tampering,2026-08-07T18:25:00
AL-E003-168,E003,AST-E003-018,Medium,Unauthorized Access,2026-08-20T10:54:00
AL-E003-169,E003,AST-E003-019,Medium,Unauthorized Access,2026-08-22T03:56:00
AL-E003-170,E003,AST-E003-020,Low,Unauthorized Access,2026-08-04T10:55:00
AL-E003-171,E003,AST-E003-021,Medium,Impossible Travel,2026-08-26T12:49:00
AL-E003-172,E003,AST-E003-022,Low,Data Exfiltration,2026-08-17T16:21:00
AL-E003-173,E003,AST-E003-023,Low,Unauthorized Access,2026-08-18T18:45:00
AL-E003-174,E003,AST-E003-024,Medium,Data Exfiltration,2026-08-03T05:59:00
AL-E003-175,E003,AST-E003-025,Medium,Firewall Anomaly,2026-08-12T14:00:00
AL-E003-176,E003,AST-E003-026,High,Impossible Travel,2026-08-17T10:46:00
AL-E003-177,E003,AST-E003-027,Medium,Malware Detection,2026-08-21T17:35:00
AL-E003-178,E003,AST-E003-028,Medium,Malware Detection,2026-08-17T09:26:00
AL-E003-179,E003,AST-E003-029,Low,Malware Detection,2026-08-08T05:34:00
AL-E003-180,E003,AST-E003-030,Medium,Malware Detection,2026-08-06T11:04:00
AL-E003-181,E003,AST-E003-001,Medium,Endpoint Tampering,2026-08-09T17:54:00
AL-E003-182,E003,AST-E003-002,Medium,Impossible Travel,2026-08-20T07:05:00
AL-E003-183,E003,AST-E003-003,Medium,Unauthorized Access,2026-08-07T04:19:00
AL-E003-184,E003,AST-E003-004,High,Firewall Anomaly,2026-08-19T11:10:00
AL-E003-185,E003,AST-E003-005,Low,Unauthorized Access,2026-08-25T08:16:00
AL-E003-186,E003,AST-E003-006,High,Brute Force,2026-08-10T12:43:00
AL-E003-187,E003,AST-E003-007,Low,Abnormal API Activity,2026-08-14T16:03:00
AL-E003-188,E003,AST-E003-008,Critical,Impossible Travel,2026-08-19T20:48:00
AL-E003-189,E003,AST-E003-009,Medium,Endpoint Tampering,2026-08-15T17:05:00
AL-E003-190,E003,AST-E003-010,Medium,Firewall Anomaly,2026-08-15T10:10:00
AL-E003-191,E003,AST-E003-011,High,Abnormal API Activity,2026-08-14T23:01:00
AL-E003-192,E003,AST-E003-012,Medium,Suspicious Login,2026-08-02T16:57:00
AL-E003-193,E003,AST-E003-013,High,Privilege Escalation,2026-08-06T05:23:00
AL-E003-194,E003,AST-E003-014,Low,Abnormal API Activity,2026-08-23T17:15:00
AL-E003-195,E003,AST-E003-015,Low,Firewall Anomaly,2026-08-10T09:15:00
AL-E003-196,E003,AST-E003-016,Low,Firewall Anomaly,2026-08-10T23:26:00
AL-E003-197,E003,AST-E003-017,Critical,Malware Detection,2026-08-30T17:33:00
AL-E003-198,E003,AST-E003-018,Low,Unauthorized Access,2026-08-27T02:13:00
AL-E003-199,E003,AST-E003-019,Medium,Malware Detection,2026-08-07T12:05:00
AL-E003-200,E003,AST-E003-020,Critical,Suspicious Login,2026-08-29T16:47:00
AL-E003-201,E003,AST-E003-021,Medium,Firewall Anomaly,2026-08-17T17:06:00
AL-E003-202,E003,AST-E003-022,Medium,Suspicious Login,2026-08-04T21:01:00
AL-E003-203,E003,AST-E003-023,Low,Brute Force,2026-08-16T18:58:00
AL-E003-204,E003,AST-E003-024,Low,Endpoint Tampering,2026-08-07T10:45:00
