investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
INV-E003-065,CASE-E003-067,,,Analyst-3,Validated affected asset and analyst observations.,true,,
INV-E003-066,CASE-E003-068,,,Analyst-4,Correlated alert with firewall and identity logs.,true,,
INV-E003-067,CASE-E003-069,,,Analyst-5,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-068,CASE-E003-070,,,Analyst-6,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-069,CASE-E003-072,,,Analyst-8,Checked related events and documented root cause.,true,,
INV-E003-070,CASE-E003-073,,,Analyst-1,Checked related events and documented root cause.,true,,
INV-E003-071,CASE-E003-074,,,Analyst-2,Validated affected asset and analyst observations.,true,,
INV-E003-072,CASE-E003-075,,,Analyst-3,Validated affected asset and analyst observations.,true,,
INV-E003-073,CASE-E003-076,,,Analyst-4,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-074,CASE-E003-077,,,Analyst-5,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-075,CASE-E003-078,,,Analyst-6,Correlated alert with firewall and identity logs.,true,,
INV-E003-076,CASE-E003-079,,,Analyst-7,Checked related events and documented root cause.,true,,
INV-E003-077,CASE-E003-080,,,Analyst-8,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-078,CASE-E003-081,,,Analyst-1,Validated affected asset and analyst observations.,true,,
INV-E003-079,CASE-E003-082,,,Analyst-2,Validated affected asset and analyst observations.,true,,
INV-E003-080,CASE-E003-083,,,Analyst-3,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-081,CASE-E003-084,,,Analyst-4,Checked related events and documented root cause.,true,,
INV-E003-082,CASE-E003-085,,,Analyst-5,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-083,CASE-E003-086,,,Analyst-6,Correlated alert with firewall and identity logs.,true,,
INV-E003-084,CASE-E003-087,,,Analyst-7,Correlated alert with firewall and identity logs.,true,,
INV-E003-085,CASE-E003-088,,,Analyst-8,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-086,CASE-E003-089,,,Analyst-1,Correlated alert with firewall and identity logs.,true,,
INV-E003-087,CASE-E003-090,,,Analyst-2,Correlated alert with firewall and identity logs.,true,,
INV-E003-088,CASE-E003-091,,,Analyst-3,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-089,CASE-E003-092,,,Analyst-4,Reviewed authentication and endpoint telemetry.,true,,
INV-E003-090,CASE-E003-093,,,Analyst-5,Correlated alert with firewall and identity logs.,true,,
INV-E003-091,CASE-E003-094,,,Analyst-6,Validated affected asset and analyst observations.,true,,
INV-E003-092,CASE-E003-095,,,Analyst-7,Correlated alert with firewall and identity logs.,true,,
INV-E003-093,CASE-E003-096,,,Analyst-8,Correlated alert with firewall and identity logs.,true,,
INV-E003-094,CASE-E003-097,,,Analyst-1,Checked related events and documented root cause.,true,,
