case_id,alert_id,entity_id,analyst_id,opened_at,closed_at,status,resolution,closure_reason
E004-C0017,E004-A0049,E004,AN01,2026-08-07 01:08:47,2026-08-07 01:11:47,CLOSED,FALSE_POSITIVE,Critical case closed unusually quickly
E004-C0018,E004-A0080,E004,AN04,2026-08-07 03:12:36,2026-08-07 05:24:36,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0019,E004-A0057,E004,AN05,2026-08-07 08:28:33,2026-08-07 08:31:33,CLOSED,TRUE_POSITIVE,Critical case closed unusually quickly
E004-C0020,E004-A0178,E004,AN08,2026-08-07 10:40:24,2026-08-07 16:19:24,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0021,E004-A0104,E004,AN03,2026-08-07 21:08:08,2026-08-08 01:07:08,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0022,E004-A0123,E004,AN08,2026-08-08 05:11:35,2026-08-08 07:11:35,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0023,E004-A0187,E004,AN02,2026-08-08 06:15:22,2026-08-08 08:45:22,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0024,E004-A0181,E004,AN03,2026-08-08 13:13:41,2026-08-08 15:30:41,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0025,E004-A0046,E004,AN07,2026-08-09 00:02:56,2026-08-09 03:39:56,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0026,E004-A0165,E004,AN06,2026-08-09 03:58:07,2026-08-09 09:39:07,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0027,E004-A0051,E004,AN03,2026-08-09 07:43:30,2026-08-09 10:35:30,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0028,E004-A0131,E004,AN03,2026-08-09 13:33:35,2026-08-09 16:20:35,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0029,E004-A0035,E004,AN01,2026-08-09 15:52:59,2026-08-09 18:12:59,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0030,E004-A0081,E004,AN08,2026-08-09 17:13:54,2026-08-09 20:40:54,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0031,E004-A0008,E004,AN05,2026-08-10 00:07:59,2026-08-10 01:57:59,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0032,E004-A0017,E004,AN05,2026-08-10 07:36:57,2026-08-10 12:27:57,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0033,E004-A0062,E004,AN08,2026-08-10 08:01:33,2026-08-10 13:22:33,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0034,E004-A0001,E004,AN07,2026-08-10 10:20:34,2026-08-10 12:37:34,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0035,E004-A0009,E004,AN04,2026-08-10 11:58:19,2026-08-10 14:35:19,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0036,E004-A0071,E004,AN02,2026-08-10 22:28:22,2026-08-10 23:58:22,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0037,E004-A0161,E004,AN03,2026-08-10 22:36:39,2026-08-11 02:31:39,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0038,E004-A0159,E004,AN05,2026-08-11 06:20:21,2026-08-11 10:41:21,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0039,E004-A0129,E004,AN02,2026-08-11 13:49:47,2026-08-11 18:48:47,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0040,E004-A0100,E004,AN08,2026-08-11 14:44:51,2026-08-11 20:01:51,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0041,E004-A0028,E004,AN06,2026-08-12 06:31:05,2026-08-12 11:09:05,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0042,E004-A0177,E004,AN02,2026-08-12 06:52:10,2026-08-12 09:15:10,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0043,E004-A0122,E004,AN02,2026-08-12 08:41:40,2026-08-12 14:04:40,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0044,E004-A0042,E004,AN01,2026-08-12 20:54:38,2026-08-13 02:35:38,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0045,E004-A0150,E004,AN05,2026-08-12 23:22:49,2026-08-13 02:47:49,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0046,E004-A0107,E004,AN01,2026-08-13 03:52:22,2026-08-13 05:31:22,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0047,E004-A0113,E004,AN08,2026-08-13 10:15:44,2026-08-13 14:27:44,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0048,E004-A0004,E004,AN06,2026-08-13 11:59:53,2026-08-13 15:57:53,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0049,E004-A0110,E004,AN06,2026-08-13 12:30:56,2026-08-13 16:41:56,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0050,E004-A0164,E004,AN08,2026-08-13 13:51:54,2026-08-13 19:32:54,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0051,E004-A0084,E004,AN06,2026-08-14 21:07:27,2026-08-14 23:18:27,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0052,E004-A0179,E004,AN02,2026-08-14 22:23:07,2026-08-15 02:31:07,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0053,E004-A0020,E004,AN06,2026-08-14 23:04:59,2026-08-15 04:11:59,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0054,E004-A0121,E004,AN03,2026-08-15 07:19:55,2026-08-15 11:01:55,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0055,E004-A0089,E004,AN08,2026-08-15 12:04:57,2026-08-15 14:31:57,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0056,E004-A0173,E004,AN05,2026-08-15 12:23:04,2026-08-15 18:14:04,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0057,E004-A0148,E004,AN04,2026-08-15 17:13:46,2026-08-15 20:01:46,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0058,E004-A0105,E004,AN06,2026-08-15 19:33:43,2026-08-16 00:46:43,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0059,E004-A0018,E004,AN06,2026-08-16 18:47:58,2026-08-16 22:09:58,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0060,E004-A0144,E004,AN08,2026-08-17 00:48:20,2026-08-17 05:12:20,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0061,E004-A0039,E004,AN06,2026-08-17 03:11:24,2026-08-17 06:48:24,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0062,E004-A0012,E004,AN05,2026-08-17 18:35:36,2026-08-17 23:41:36,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0063,E004-A0195,E004,AN05,2026-08-19 09:38:35,2026-08-19 12:57:35,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0064,E004-A0072,E004,AN06,2026-08-19 21:23:59,2026-08-19 23:02:59,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0065,E004-A0141,E004,AN08,2026-08-20 06:59:26,2026-08-20 10:11:26,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0066,E004-A0132,E004,AN02,2026-08-20 10:26:52,2026-08-20 12:14:52,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0067,E004-A0059,E004,AN06,2026-08-20 11:06:10,2026-08-20 15:39:10,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0068,E004-A0194,E004,AN05,2026-08-21 01:47:59,2026-08-21 03:44:59,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0069,E004-A0170,E004,AN07,2026-08-21 21:26:56,2026-08-22 00:32:56,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0070,E004-A0016,E004,AN03,2026-08-22 02:51:54,2026-08-22 07:03:54,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0071,E004-A0082,E004,AN05,2026-08-22 04:38:52,2026-08-22 08:44:52,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0072,E004-A0126,E004,AN01,2026-08-22 21:41:40,2026-08-22 23:39:40,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0073,E004-A0021,E004,AN02,2026-08-22 23:19:59,2026-08-23 04:05:59,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0074,E004-A0133,E004,AN08,2026-08-24 00:34:13,2026-08-24 05:20:13,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0075,E004-A0184,E004,AN05,2026-08-24 01:00:18,2026-08-24 03:11:18,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0076,E004-A0073,E004,AN02,2026-08-24 10:57:01,2026-08-24 16:39:01,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0077,E004-A0050,E004,AN07,2026-08-24 21:51:28,2026-08-25 00:58:28,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0078,E004-A0099,E004,AN04,2026-08-25 09:26:59,2026-08-25 13:30:59,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0079,E004-A0061,E004,AN05,2026-08-25 12:12:41,2026-08-25 14:15:41,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0080,E004-A0175,E004,AN06,2026-08-25 21:28:17,2026-08-26 01:22:17,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0081,E004-A0103,E004,AN02,2026-08-25 22:49:34,2026-08-26 00:36:34,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0082,E004-A0033,E004,AN05,2026-08-26 00:44:10,2026-08-26 06:09:10,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0083,E004-A0094,E004,AN02,2026-08-26 09:30:42,2026-08-26 09:34:42,CLOSED,TRUE_POSITIVE,Rapid closure pattern with limited investigation quality
E004-C0084,E004-A0068,E004,AN07,2026-08-26 15:25:08,2026-08-26 20:17:08,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0085,E004-A0040,E004,AN06,2026-08-26 18:37:57,2026-08-26 21:27:57,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0086,E004-A0045,E004,AN02,2026-08-27 09:17:40,2026-08-27 11:00:40,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0087,E004-A0006,E004,AN03,2026-08-28 01:44:23,2026-08-28 07:16:23,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0088,E004-A0032,E004,AN04,2026-08-28 10:31:19,2026-08-28 12:22:19,CLOSED,MITIGATED,Threat investigated and response completed
E004-C0089,E004-A0176,E004,AN06,2026-08-29 01:22:43,2026-08-29 06:46:43,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0090,E004-A0058,E004,AN03,2026-08-29 08:11:00,2026-08-29 08:15:00,CLOSED,FALSE_POSITIVE,Rapid closure pattern with limited investigation quality
E004-C0091,E004-A0063,E004,AN08,2026-08-29 10:31:31,2026-08-29 12:22:31,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0092,E004-A0137,E004,AN07,2026-08-29 18:26:32,2026-08-30 00:20:32,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0093,E004-A0037,E004,AN05,2026-08-29 22:36:06,2026-08-29 22:40:06,CLOSED,CONTAINED,Rapid closure pattern with limited investigation quality
E004-C0094,E004-A0024,E004,AN08,2026-08-29 23:08:24,2026-08-29 23:12:24,CLOSED,CONTAINED,Rapid closure pattern with limited investigation quality
E004-C0095,E004-A0056,E004,AN04,2026-08-30 09:09:12,2026-08-30 11:23:12,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0096,E004-A0067,E004,AN03,2026-08-30 20:41:15,2026-08-30 23:40:15,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0097,E004-A0134,E004,AN07,2026-08-30 22:05:35,2026-08-31 00:42:35,CLOSED,FALSE_POSITIVE,Threat investigated and response completed
E004-C0098,E004-A0200,E004,AN04,2026-08-31 04:01:42,2026-08-31 06:57:42,CLOSED,TRUE_POSITIVE,Threat investigated and response completed
E004-C0099,E004-A0052,E004,AN07,2026-08-31 04:45:21,2026-08-31 09:13:21,CLOSED,CONTAINED,Threat investigated and response completed
E004-C0100,E004-A0158,E004,AN05,2026-08-31 07:34:47,2026-08-31 12:34:47,CLOSED,CONTAINED,Threat investigated and response completed
