investigation_id,case_id,started_at,completed_at,analyst_id,analyst_notes,evidence_present,evidence_count,root_cause_identified
E005-INV0047,E005-C0047,2026-08-05 07:05:00,2026-08-05 09:27:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,3,True
E005-INV0048,E005-C0048,2026-08-05 08:41:00,2026-08-05 09:23:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0049,E005-C0049,2026-08-05 10:26:00,2026-08-05 11:44:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0050,E005-C0050,2026-08-05 12:35:00,2026-08-05 14:20:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,5,True
E005-INV0051,E005-C0051,2026-08-05 15:00:00,2026-08-05 17:12:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0052,E005-C0052,2026-08-05 17:14:00,2026-08-05 17:57:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,3,True
E005-INV0053,E005-C0053,2026-08-05 19:06:00,2026-08-05 21:29:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,3,True
E005-INV0054,E005-C0054,2026-08-05 20:34:00,2026-08-05 21:07:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,5,True
E005-INV0055,E005-C0055,2026-08-05 22:51:00,2026-08-06 00:25:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0056,E005-C0056,2026-08-06 00:43:00,2026-08-06 02:56:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,2,True
E005-INV0057,E005-C0057,2026-08-06 02:53:00,2026-08-06 03:37:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,3,True
E005-INV0058,E005-C0058,2026-08-06 04:32:00,2026-08-06 05:29:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,5,True
E005-INV0059,E005-C0059,2026-08-06 06:37:00,2026-08-06 07:25:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,2,True
E005-INV0060,E005-C0060,2026-08-06 08:46:00,2026-08-06 11:15:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0061,E005-C0061,2026-08-06 11:03:00,2026-08-06 12:13:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,4,True
E005-INV0062,E005-C0062,2026-08-06 12:52:00,2026-08-06 13:51:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0063,E005-C0063,2026-08-06 14:39:00,2026-08-06 17:18:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,5,True
E005-INV0064,E005-C0064,2026-08-06 16:28:00,2026-08-06 16:57:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0065,E005-C0065,2026-08-06 18:28:00,2026-08-06 20:46:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,3,True
E005-INV0066,E005-C0066,2026-08-06 20:47:00,2026-08-06 21:04:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,5,True
E005-INV0067,E005-C0067,2026-08-06 22:29:00,2026-08-07 00:24:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,5,True
E005-INV0068,E005-C0068,2026-08-07 00:43:00,2026-08-07 01:50:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,2,True
E005-INV0069,E005-C0069,2026-08-07 02:21:00,2026-08-07 04:17:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,1,True
E005-INV0070,E005-C0070,2026-08-07 04:29:00,2026-08-07 05:16:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,3,True
E005-INV0071,E005-C0071,2026-08-07 07:03:00,2026-08-07 08:22:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,1,True
E005-INV0072,E005-C0072,2026-08-07 08:44:00,2026-08-07 09:43:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,4,True
E005-INV0073,E005-C0073,2026-08-07 10:39:00,2026-08-07 12:47:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,2,True
E005-INV0074,E005-C0074,2026-08-07 12:40:00,2026-08-07 14:11:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,2,True
E005-INV0075,E005-C0075,2026-08-07 14:49:00,2026-08-07 15:44:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,5,True
E005-INV0076,E005-C0076,2026-08-07 16:56:00,2026-08-07 18:38:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,3,True
E005-INV0077,E005-C0077,2026-08-07 18:10:00,2026-08-07 19:59:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,1,True
E005-INV0078,E005-C0078,2026-08-07 20:54:00,2026-08-07 22:01:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,1,True
E005-INV0079,E005-C0079,2026-08-07 22:21:00,2026-08-07 23:56:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,2,True
E005-INV0080,E005-C0080,2026-08-08 00:36:00,2026-08-08 02:00:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,5,True
E005-INV0081,E005-C0081,2026-08-08 02:51:00,2026-08-08 04:13:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0082,E005-C0082,2026-08-08 04:40:00,2026-08-08 05:04:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,3,True
E005-INV0083,E005-C0083,2026-08-08 06:32:00,2026-08-08 07:04:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,3,True
E005-INV0084,E005-C0084,2026-08-08 08:59:00,2026-08-08 09:50:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,3,True
E005-INV0085,E005-C0085,2026-08-08 10:50:00,2026-08-08 12:39:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,4,True
E005-INV0086,E005-C0086,2026-08-08 12:58:00,2026-08-08 14:28:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,5,True
E005-INV0087,E005-C0087,2026-08-08 14:44:00,2026-08-08 16:52:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,2,True
E005-INV0088,E005-C0088,2026-08-08 16:42:00,2026-08-08 19:17:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0089,E005-C0089,2026-08-08 18:48:00,2026-08-08 21:10:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,4,True
E005-INV0090,E005-C0090,2026-08-08 20:28:00,2026-08-08 21:04:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,3,True
E005-INV0091,E005-C0091,2026-08-08 22:54:00,2026-08-09 01:04:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,5,True
E005-INV0092,E005-C0092,2026-08-09 00:38:00,2026-08-09 03:12:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,2,True
E005-INV0093,E005-C0093,2026-08-09 02:50:00,2026-08-09 04:16:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,4,True
E005-INV0094,E005-C0094,2026-08-09 04:43:00,2026-08-09 05:57:00,AN01,Inspected ICS endpoint baseline. Process execution authorized.,True,5,True
E005-INV0095,E005-C0095,2026-08-09 06:16:00,2026-08-09 07:01:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,4,True
E005-INV0096,E005-C0096,2026-08-09 09:03:00,2026-08-09 11:34:00,AN01,Verified authentication logs. Legitimate admin login confirmed.,True,1,True
E005-INV0097,E005-C0097,2026-08-09 10:35:00,2026-08-09 11:57:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,5,True
E005-INV0098,E005-C0098,2026-08-09 12:37:00,2026-08-09 13:57:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,4,True
E005-INV0099,E005-C0099,2026-08-09 14:41:00,2026-08-09 17:13:00,AN01,Analyzed firewall denied connections. Routine port scanning dropped.,True,5,True
E005-INV0100,E005-C0100,2026-08-09 16:50:00,2026-08-09 18:18:00,AN01,Reviewed SCADA traffic logs. No anomalies detected.,True,2,True
